player,team,Rank,RM,Z,R,P,BZ,BS,tournament
Maciek,Barcelona,5,6,2,1,2,,,1
Alek,Arsenal,"4,5",6,3,0,3,,,1
Wojtek,Bayern,5,6,4,1,1,,,1
Domin,PSG,5,6,2,0,4,,,1
Wojtek,LAFC,"3,5",8,5,1,2,20,8,2
Domin,ManU,5,8,4,2,2,21,14,2
Maciek,Borussia,"4,5",8,3,2,3,18,20,2
Alek,Lyon,4,8,3,1,4,12,15,2
Bartek,PSG,5,8,2,0,6,6,20,2
Alek,Arsenal,"4,5",8,8,0,0,26,9,3
Maciek,Borussia,"4,5",8,4,1,3,31,20,3
Wojtek,Brentford,"3,5",8,3,0,5,12,23,3
Domin,Wolves,4,8,2,1,5,10,17,3
Bartek,PSG,5,8,2,0,6,12,22,3
Domin,Bayern,5,8,5,1,2,22,9,4
Wojtek,Juventus,"4,5",8,4,3,1,14,9,4
Alek,Pilzno,"3,5",8,2,4,2,9,8,4
Maciek,Valencia,4,8,1,4,3,8,18,4
Bartek,PSG,5,8,1,2,5,6,15,4
Wojtek,Polska,4,6,5,0,1,21,4,5
Domin,Holandia,"4,5",6,4,0,2,10,13,5
Alek,Meksyk,4,6,3,0,3,15,14,5
Maciek,Belgia,"4,5",6,0,0,6,9,24,5
Alek,Nottingham,4,8,5,2,1,10,6,6
Wojtek,Ajax,4,8,5,1,2,16,11,6
Maciek,Barcelona,5,8,4,1,3,16,12,6
Domin,RB Leipzig,"4,5",8,3,1,4,13,13,6
Bartek,Chelsea,5,8,0,1,7,17,4,6
Alek,Arsenal,"4,5",6,5,1,0,22,10,7
Domin,Liverpool,5,6,2,1,3,12,14,7
Maciek,Borussia,"4,5",6,2,0,4,15,21,7
Wojtek,Napoli,"4,5",6,1,2,3,16,20,7
Wojtek,PSV,4,8,5,3,0,24,9,8
Maciek,Napoli,"4,5",8,4,4,0,17,12,8
Alek,Notts,4,8,2,4,2,15,12,8
Domin,West Ham,"4,5",8,1,3,4,10,19,8
Bartek,Barcelona,5,8,0,2,6,1,15,8
Wojtek,Al-Nassr,4,8,5,1,1,25,18,9
Domin,Leverkusen,"4,5",8,4,1,3,20,21,9
Maciek,Borussia,"4,5",8,3,2,3,15,17,9
Alek,RCD Espanyol,4,8,3,2,3,7,9,9
Bartek,PSG,5,8,2,0,6,13,15,9
Wojtek,Norwegia,4,8,4,2,2,20,14,10
Alek,Czechy,4,8,4,1,3,10,9,10
Domin,Holandia,"4,5",8,3,2,3,12,12,10
Bartek,Francja,5,8,3,2,3,12,13,10
Maciek,Polska,4,8,1,3,4,9,15,10
Wojtek,Górnik Zabrze,2,8,7,0,1,19,7,11
Alek,Radomiak Radom,2,8,4,3,1,12,6,11
Domin,Legia Warszawa,"2,5",8,3,1,4,14,19,11
Maciek,Pogoń Szczecin,"2,5",8,2,2,4,8,12,11
Bartek,Lech Poznań,3,8,0,2,6,6,15,11
Wojtek,Inter Miami,"3,5",8,5,1,2,16,11,12
Maciek,Borussia Dortmund,"4,5",8,4,1,3,18,13,12
Alek,RB Salzburg,"3,5",8,2,4,2,8,8,12
Domin,Boca Juniors,4,8,2,3,3,13,18,12
Bartek,FC Bayern Munchen,5,8,2,1,5,10,15,12
